City_ID,City,Country,current Description,Max Temp,Lat,Lng,Hotel Name
437,Galle,LK,broken clouds,81.32,6.0367,80.217,Amangalla
438,Bonfim,BR,overcast clouds,75.06,3.0833,-59.95,
439,Jammalamadugu,IN,broken clouds,89.2,14.8333,78.4,R and B Guest House
440,Harlingen,US,overcast clouds,83.05,26.1906,-97.6961,Courtyard by Marriott Harlingen
446,Ormara,PK,broken clouds,81.77,25.2088,64.6357,Kenara Colony House for Rent
450,Samarai,PG,overcast clouds,77.45,-10.6167,150.6667,Nuli Sapi
454,Umm Kaddadah,SD,broken clouds,78.82,13.6017,26.6876,
456,Kirakira,SB,scattered clouds,83.23,-10.4544,161.9205,SanBiz Lodge
460,Mahuva,IN,overcast clouds,82.63,21.0914,71.7622,Hotel Blue Diamond.
465,Ambulu,ID,overcast clouds,83.71,-8.345,113.6058,Hotel Ambulu Jember
474,Kudahuvadhoo,MV,scattered clouds,82.6,2.6708,72.8944,Niyama Private Islands Maldives
475,Muscat,OM,overcast clouds,88.93,23.6139,58.5922,Mutrah Hotel
476,Selcuk,TR,clear sky,76.01,37.9514,27.3685,Archeologica House Ephesus
478,Huntsville,US,scattered clouds,75.2,34.7304,-86.5861,Embassy Suites by Hilton Huntsville
479,Rapid Valley,US,clear sky,77.63,44.0625,-103.1463,Fairfield Inn & Suites by Marriott Rapid City
482,Erzin,TR,broken clouds,79.14,36.9559,36.2,Artemis Otel
484,Alyangula,AU,clear sky,79.52,-13.8483,136.4192,Groote Eylandt Lodge
485,Kendari,ID,broken clouds,81.64,-3.945,122.4989,Hotel Wixel
486,Fomboni,KM,light rain,76.19,-12.28,43.7425,Auberge les abou
488,Pak Chong,TH,overcast clouds,79.77,14.708,101.4161,PakChong Phubade Hotel
489,Meulaboh,ID,light rain,83.71,4.1363,96.1285,Kost Pria
496,Oranjestad,AW,few clouds,82.29,12.524,-70.027,Divi Village Golf & Beach Resort
499,Iracoubo,GF,overcast clouds,75.79,5.4802,-53.2011,Le Gîte d’Iracoubo
502,Dakar,SN,light rain,79.68,14.6937,-17.4441,Novotel Dakar
506,Santa Rosa,PH,heavy intensity rain,86.11,14.3122,121.1114,Erlyn’s Sta Rosa City Home
509,Yamada,JP,scattered clouds,79.16,39.4667,141.95,Iroha-ya Inn
512,Stanislav,UA,clear sky,76.82,46.5691,32.1478,Hostynnyy Dvir
514,Merta,IN,overcast clouds,78.3,26.65,74.0333,V Resorts Ganthiya
516,Port Hedland,AU,clear sky,87.85,-20.3167,118.5667,The Esplanade Hotel
517,Rudsar,IR,scattered clouds,80.69,37.1376,50.288,Hotel Bahar
519,Luganville,VU,scattered clouds,79.45,-15.5333,167.1667,The Espiritu Hotel
520,Junagarh,IN,broken clouds,85.33,19.8667,82.9333,Hotel Swagat
521,Kamaishi,JP,scattered clouds,79.18,39.2667,141.8833,Hotel Route Inn Kamaishi
524,Shahr-E Babak,IR,clear sky,76.32,30.1165,55.1186,سلاطین مس و نقره
538,Nuevo Progreso,MX,clear sky,81.54,23.1667,-97.95,Balneario Rio el Paraiso
543,Yulara,AU,clear sky,76.77,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
545,Trairi,BR,broken clouds,76.86,-3.2778,-39.2689,janelas do mar
546,Mogadishu,SO,overcast clouds,77.16,2.0371,45.3438,Hotel Juba
550,Oktyabrskiy,RU,clear sky,75.38,54.4815,53.471,Гостиница Октябрьская
552,Manzanillo,CU,few clouds,77.18,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
553,Zabid,YE,scattered clouds,88.48,14.1951,43.3152,مغرب التريبه
554,Bosaso,SO,broken clouds,89.89,11.2842,49.1816,Red Sea Hotel
555,Fairhope,US,clear sky,75.67,30.523,-87.9033,Hampton Inn Fairhope-Mobile Bay
559,Jabinyanah,TN,broken clouds,77.27,35.035,10.9081,maison belmabrouk
560,Atar,MR,broken clouds,88.45,20.5169,-13.0499,Oumou Elghoura
562,Artyom,AZ,clear sky,82.54,40.4723,50.333,Pir hos
567,Micheweni,TZ,few clouds,75.54,-4.9667,39.8333,
571,Mountain Home,US,clear sky,80.62,43.133,-115.6912,Mountain Home Inn
