City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
113,Kurayoshi,35.4333,133.8167,90.81,58,85,3.83,JP,2022-08-02 05:03:54
114,Kununurra,-15.7667,128.7333,93.18,24,2,9.22,AU,2022-08-02 05:03:55
115,Teguldet,57.3064,88.1667,66.51,45,54,6.08,RU,2022-08-02 05:03:55
116,Wajid,3.8093,43.2471,74.03,63,10,22.46,SO,2022-08-02 05:03:56
117,Igarka,67.4667,86.5833,61.03,46,8,13.11,RU,2022-08-02 05:03:56
118,Huarmey,-10.0681,-78.1522,62.37,86,52,7.63,PE,2022-08-02 05:03:57
119,Minab,27.1467,57.0801,95.92,49,80,2.08,IR,2022-08-02 05:02:02
120,Kenai,60.5544,-151.2583,55.49,92,75,5.75,US,2022-08-02 05:03:57
121,Zwedru,6.0667,-8.1281,68.5,93,100,2.77,LR,2022-08-02 05:03:58
122,Lebu,-37.6167,-73.65,45.1,85,4,12.17,CL,2022-08-02 05:03:58
123,Ous,60.9058,61.5186,70.3,38,9,3.04,RU,2022-08-02 05:03:59
124,Geraldton,-28.7667,114.6,64.81,59,75,25.32,AU,2022-08-02 05:02:35
125,Urdoma,61.7533,48.5442,68.4,56,79,1.79,RU,2022-08-02 05:03:59
126,Lorengau,-2.0226,147.2712,83.19,77,46,11.12,PG,2022-08-02 05:04:00
127,Kailua,21.4022,-157.7394,79.14,74,3,7.0,US,2022-08-02 05:01:36
128,Kaspiyskiy,45.3929,47.3707,86.34,37,21,4.25,RU,2022-08-02 05:04:00
129,Inuvik,68.3499,-133.7218,59.86,58,99,12.06,CA,2022-08-02 05:04:01
130,Narsaq,60.9167,-46.05,46.62,73,100,1.43,GL,2022-08-02 05:04:01
131,Tuatapere,-46.1333,167.6833,49.73,89,61,9.75,NZ,2022-08-02 05:04:02
132,Ko Samui,9.5357,99.9357,84.07,69,100,7.38,TH,2022-08-02 05:04:02
133,Scarborough,54.2797,-0.4044,67.57,86,100,11.01,GB,2022-08-02 04:59:41
134,Atuona,-9.8,-139.0333,77.45,73,15,16.06,PF,2022-08-02 05:04:04
135,Airai,-8.9266,125.4092,76.05,39,69,3.96,TL,2022-08-02 05:04:05
136,Sura,53.8879,45.7419,67.39,62,35,5.44,RU,2022-08-02 05:04:05
137,Malibu,34.005,-118.8101,79.84,72,96,5.17,US,2022-08-02 05:02:22
138,Mahebourg,-20.4081,57.7,73.26,78,75,2.3,MU,2022-08-02 05:01:07
139,Longyearbyen,78.2186,15.6401,49.84,87,75,5.75,SJ,2022-08-02 05:00:23
140,Buala,-8.145,159.5921,83.25,73,58,10.33,SB,2022-08-02 05:05:08
141,Cape Town,-33.9258,18.4232,53.38,77,0,8.01,ZA,2022-08-02 05:02:28
142,Banjar,-8.19,114.9675,82.51,76,97,1.54,ID,2022-08-02 05:05:09
143,Sorong,-0.8833,131.25,82.53,74,99,6.04,ID,2022-08-02 05:05:09
144,Vardo,70.3705,31.1107,51.78,93,100,2.3,NO,2022-08-02 05:01:53
145,Nhulunbuy,-12.2333,136.7667,86.61,58,40,19.57,AU,2022-08-02 05:05:10
146,Chifeng,42.2683,118.9636,94.03,34,7,8.63,CN,2022-08-02 05:05:10
147,Alice Springs,-23.7,133.8833,80.15,18,75,20.71,AU,2022-08-02 05:05:11
148,Tuktoyaktuk,69.4541,-133.0374,47.52,81,100,12.68,CA,2022-08-02 05:05:11
149,Muroto,33.2833,134.15,83.82,78,91,12.35,JP,2022-08-02 05:05:12
150,Singkang,2.1006,102.7994,84.85,73,100,4.29,MY,2022-08-02 05:05:12
151,Naze,28.3667,129.4833,82.53,77,66,10.69,JP,2022-08-02 05:05:12
152,Nouadhibou,20.931,-17.0347,70.32,92,54,15.12,MR,2022-08-02 05:05:13
153,Lengshuitan,26.4111,111.5956,99.99,35,0,6.55,CN,2022-08-02 05:05:13
154,Labuan,5.2767,115.2417,82.04,77,100,4.36,MY,2022-08-02 05:05:14
155,Querfurt,51.3833,11.6,62.22,69,71,1.32,DE,2022-08-02 05:05:14
156,Te Anau,-45.4167,167.7167,48.43,90,90,9.19,NZ,2022-08-02 05:05:15
157,La Ronge,55.1001,-105.2842,57.78,65,91,7.43,CA,2022-08-02 05:05:15
158,Maltahohe,-24.8333,16.9833,41.94,91,6,4.83,NA,2022-08-02 05:05:16
159,Pevek,69.7008,170.3133,50.54,61,100,14.32,RU,2022-08-02 05:05:16
160,Yellowknife,62.456,-114.3525,64.56,39,48,5.01,CA,2022-08-02 05:04:19
161,Vestmanna,62.1564,-7.1664,49.12,93,100,11.5,FO,2022-08-02 05:02:41
162,Saldanha,-33.0117,17.9442,54.27,70,7,11.88,ZA,2022-08-02 05:05:17
163,Hasaki,35.7333,140.8333,97.2,74,100,11.21,JP,2022-08-02 05:05:18
164,Carnarvon,-24.8667,113.6333,67.57,52,92,16.06,AU,2022-08-02 05:05:18
165,Vytegra,61.0064,36.4481,60.62,88,100,11.39,RU,2022-08-02 05:05:19
166,Caxias,38.7031,-9.2767,68.47,79,20,8.05,PT,2022-08-02 05:04:01
167,Kuryk,43.2,51.65,88.74,32,20,6.44,KZ,2022-08-02 05:05:19
168,Ballina,-28.8667,153.5667,68.02,67,1,8.25,AU,2022-08-02 05:05:05
169,East London,-33.0153,27.9116,55.31,56,28,6.55,ZA,2022-08-02 05:00:35
170,Kuching,1.55,110.3333,88.02,74,40,7.0,MY,2022-08-02 05:05:20
171,Bubaque,11.2833,-15.8333,78.91,80,95,14.83,GW,2022-08-02 05:05:21
172,Jieshou,33.2634,115.3611,93.97,53,0,6.31,CN,2022-08-02 05:05:21
173,Nikolskoye,59.7035,30.7861,65.88,96,100,8.84,RU,2022-08-02 05:05:22
174,Terrace,54.5163,-128.6035,59.16,81,86,3.24,CA,2022-08-02 05:05:22
175,Sambava,-14.2667,50.1667,71.26,77,28,12.1,MG,2022-08-02 05:05:23
176,Jiuquan,39.7432,98.5174,67.87,65,100,8.9,CN,2022-08-02 05:05:23
177,Pitsunda,43.1592,40.3378,75.38,83,88,7.02,GE,2022-08-02 05:05:23
178,Paamiut,61.994,-49.6678,44.71,84,100,6.49,GL,2022-08-02 05:05:24
179,Macamic,48.7502,-78.9996,52.39,98,100,10.54,CA,2022-08-02 05:05:24
180,Cairns,-16.9167,145.7667,84.07,61,40,13.8,AU,2022-08-02 05:05:25
181,Gizo,-8.103,156.8419,85.89,63,22,6.69,SB,2022-08-02 05:06:25
182,Pisco,-13.7,-76.2167,54.01,87,4,3.44,PE,2022-08-02 05:04:41
183,Manicore,-5.8092,-61.3003,73.26,88,60,2.71,BR,2022-08-02 05:06:26
184,Katsuura,35.1333,140.3,87.22,73,100,15.52,JP,2022-08-02 05:06:26
185,Alwaye,10.1167,76.35,76.95,94,100,6.91,IN,2022-08-02 05:06:27
186,Ahipara,-35.1667,173.1667,56.8,74,99,6.46,NZ,2022-08-02 05:06:27
187,Georgetown,5.4112,100.3354,85.95,74,20,9.22,MY,2022-08-02 05:04:35
188,Lagoa,39.05,-27.9833,73.35,74,52,13.33,PT,2022-08-02 05:03:09
189,Nalut,30.3333,10.85,80.13,35,0,9.28,LY,2022-08-02 05:06:28
190,Bismarck,46.8083,-100.7837,73.81,76,0,10.36,US,2022-08-02 05:03:05
191,Ponta Do Sol,32.6667,-17.1,70.0,76,6,6.58,PT,2022-08-02 05:06:29
192,Rapid Valley,44.0625,-103.1463,82.15,27,75,8.99,US,2022-08-02 05:06:29
193,Akdepe,42.0551,59.3788,84.69,37,12,5.82,TM,2022-08-02 05:06:30
194,Massakory,12.996,15.7293,71.55,92,77,6.22,TD,2022-08-02 05:06:30
195,Marawi,7.9986,124.2928,76.96,84,99,4.07,PH,2022-08-02 05:06:31
196,Huangmei,30.1924,116.025,94.8,52,0,5.08,CN,2022-08-02 05:06:31
197,Libreville,0.3925,9.4537,74.7,79,88,5.75,GA,2022-08-02 05:02:12
198,Saint George,37.1041,-113.5841,89.64,41,0,1.01,US,2022-08-02 05:06:32
199,Soe,-9.8607,124.284,81.72,40,100,7.78,ID,2022-08-02 05:06:32
200,Adrano,37.6618,14.8348,76.19,49,0,3.91,IT,2022-08-02 05:06:33
201,Pitmoaga,12.2397,-1.8767,71.8,89,94,11.43,BF,2022-08-02 05:06:33
202,Vila Franca Do Campo,37.7167,-25.4333,66.61,86,17,2.39,PT,2022-08-02 05:06:33
203,Hadano,35.3711,139.2236,100.74,49,83,6.73,JP,2022-08-02 05:06:34
204,Mount Isa,-20.7333,139.5,87.57,20,2,8.05,AU,2022-08-02 05:06:34
205,Salalah,17.0151,54.0924,75.29,100,100,3.44,OM,2022-08-02 05:06:35
206,Goma,-1.6792,29.2228,63.09,85,100,2.91,CD,2022-08-02 05:06:35
