City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
120,Marsaxlokk,35.8419,14.5431,88.41,48,0,6.91,MT,2022-08-03 16:54:43
121,Neiafu,-18.65,-173.9833,77.68,73,75,6.91,TO,2022-08-03 16:54:44
122,Borogontsy,62.6683,131.1683,62.73,96,94,3.38,RU,2022-08-03 16:54:44
123,Katsuura,35.1333,140.3,80.73,89,97,15.05,JP,2022-08-03 16:54:44
124,Sinnamary,5.3833,-52.95,82.71,81,100,11.68,GF,2022-08-03 16:54:02
125,Tasiilaq,65.6145,-37.6368,41.07,72,64,8.7,GL,2022-08-03 16:52:26
126,Asau,46.4333,26.4,77.92,63,56,4.36,RO,2022-08-03 16:54:45
127,Praya,14.9215,-23.5087,84.74,65,40,13.8,CV,2022-08-03 16:53:42
128,Antalaha,-14.9003,50.2788,67.46,85,14,7.83,MG,2022-08-03 16:54:29
129,Ilulissat,69.2167,-51.1,47.12,68,99,8.37,GL,2022-08-03 16:54:46
130,Vila Franca Do Campo,37.7167,-25.4333,77.41,63,4,7.31,PT,2022-08-03 16:53:38
131,Husavik,66.0449,-17.3389,45.48,96,100,17.69,IS,2022-08-03 16:54:47
132,Khatanga,71.9667,102.5,49.6,66,92,6.98,RU,2022-08-03 16:53:58
133,Constitucion,-35.3333,-72.4167,54.09,54,82,7.65,CL,2022-08-03 16:53:33
134,Beringovskiy,63.05,179.3167,50.9,86,91,7.0,RU,2022-08-03 16:54:48
135,Jamestown,42.097,-79.2353,83.95,50,1,5.99,US,2022-08-03 16:51:34
136,Sivas,39.7916,37.0019,70.84,61,0,7.87,TR,2022-08-03 16:55:48
137,Hambantota,6.1241,81.1185,79.16,79,100,24.16,LK,2022-08-03 16:52:54
138,Seoul,37.5683,126.9778,80.2,92,75,3.44,KR,2022-08-03 16:55:13
139,Ancud,-41.8697,-73.8203,44.22,89,99,17.54,CL,2022-08-03 16:55:49
140,Avenal,36.0041,-120.129,85.55,30,0,3.06,US,2022-08-03 16:55:50
141,Iqaluit,63.7506,-68.5145,53.33,66,40,5.99,CA,2022-08-03 16:55:50
142,Glendive,47.1053,-104.7125,78.49,46,0,1.01,US,2022-08-03 16:55:51
143,Arraial Do Cabo,-22.9661,-42.0278,76.96,69,20,10.36,BR,2022-08-03 16:55:51
144,Sakakah,29.9697,40.2064,110.77,14,4,10.89,SA,2022-08-03 16:55:51
145,Benghazi,32.1167,20.0667,83.07,62,0,19.75,LY,2022-08-03 16:55:52
146,Ca Mau,9.1769,105.15,77.25,92,100,3.18,VN,2022-08-03 16:55:03
147,Puerto Ayora,-0.7393,-90.3518,78.76,78,70,8.99,EC,2022-08-03 16:54:01
